GalaxyID,Morphology,label,Confidence
100053,Intermediate_Elliptical,2,0.56805799134555
100090,Round_Elliptical,4,0.461864892835598
100122,Intermediate_Elliptical,2,0.490356376472256
100123,Irregular_Merger,3,0.473788783
100134,Irregular_Merger,3,0.4502247
100143,EdgeOn_Disk,1,0.5331292446489999
100263,Irregular_Merger,3,0.75783565
100295,Intermediate_Elliptical,2,0.48114501996491704
100322,EdgeOn_Disk,1,0.741670301219634
100380,Barred_Spiral,0,0.4161902964125
100428,Round_Elliptical,4,0.40219143798451495
100434,Round_Elliptical,4,0.41962800000000006
100444,Intermediate_Elliptical,2,0.423070514667684
100458,Irregular_Merger,3,0.569277498
100474,EdgeOn_Disk,1,0.41118409592644495
100479,Intermediate_Elliptical,2,0.411333729850134
100513,Irregular_Merger,3,0.7267268
100520,Irregular_Merger,3,0.823630489
100561,Irregular_Merger,3,0.634190748
100571,Round_Elliptical,4,0.458322593841261
100672,Round_Elliptical,4,0.6599166410997
100673,Unbarred_Spiral,5,0.6120894862987758
100727,Round_Elliptical,4,0.625651406887104
100744,Round_Elliptical,4,0.44206304710185995
100765,Unbarred_Spiral,5,0.7065547814904759
100801,Unbarred_Spiral,5,0.6022654627769239
100813,Unbarred_Spiral,5,0.49443907843985174
100821,Unbarred_Spiral,5,0.5805640776156301
100852,Round_Elliptical,4,0.45712199724258595
100859,Unbarred_Spiral,5,0.6740940679560194
100867,Round_Elliptical,4,0.559901900999528
100951,Unbarred_Spiral,5,0.5549255635185076
101007,Unbarred_Spiral,5,0.4975879604777135
101061,Intermediate_Elliptical,2,0.503055820212285
101074,Barred_Spiral,0,0.5141039849522526
101092,Intermediate_Elliptical,2,0.503322399494743
101140,Barred_Spiral,0,0.49957482476467074
101181,EdgeOn_Disk,1,0.9054892711839999
101232,EdgeOn_Disk,1,0.553451187249
101247,Round_Elliptical,4,0.5989659146147731
101251,Round_Elliptical,4,0.414147904868824
101290,Intermediate_Elliptical,2,0.543171479734039
101298,Barred_Spiral,0,0.5579923794682926
101307,Barred_Spiral,0,0.6477997161934442
101325,Round_Elliptical,4,0.42681566374280805
101355,EdgeOn_Disk,1,0.42697074290384995
101374,EdgeOn_Disk,1,0.530859417201
101502,Round_Elliptical,4,0.490124867470733
101518,Round_Elliptical,4,0.5100877178270881
101538,Intermediate_Elliptical,2,0.431315361713888
101548,Round_Elliptical,4,0.527416301920544
101563,EdgeOn_Disk,1,0.46434827596081707
101589,Irregular_Merger,3,0.4226583
101595,EdgeOn_Disk,1,0.649592659795863
101597,Irregular_Merger,3,0.465858523
101623,Intermediate_Elliptical,2,0.5997938161386359
101627,Round_Elliptical,4,0.7568116532612099
101660,EdgeOn_Disk,1,0.5099288858319629
101685,EdgeOn_Disk,1,0.501986302459923
101695,Intermediate_Elliptical,2,0.56786933551942
101718,EdgeOn_Disk,1,0.4856755045220641
101754,Round_Elliptical,4,0.47467524162976205
101756,Barred_Spiral,0,0.49816714851646826
101774,Unbarred_Spiral,5,0.4234522212535525
101787,Unbarred_Spiral,5,0.4749285615150429
101804,Unbarred_Spiral,5,0.4476129461792645
101816,Intermediate_Elliptical,2,0.51575862818584
101848,EdgeOn_Disk,1,0.607131740161782
101854,Round_Elliptical,4,0.40733752776293997
